date,state,positive,negative,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,death,total,totalTestResults,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,numAcuteBeds,numICUBeds,numEOBeds,numTotBeds,numBeds,numBedsOcc,numVent,numVentUse
20200404,NJ,34124,41232,4000,,,846,75356,75356,34,200,0,3624,4229,7853,15000,2500,2500,20000,17500,11500,2250,
20200405,NJ,37505,44661,4000,,,917,82166,82166,34,71,0,3429,3381,6810,15000,2500,2500,20000,17500,11500,2250,
20200406,NJ,41090,47942,6390,,1263,1003,89032,89032,34,86,2390,3281,3585,6866,15000,2500,2500,20000,17500,13890,2250,1576
20200407,NJ,44416,50558,7017,1651,1540,1232,94974,94974,34,229,0,2616,3326,5942,15000,2500,2500,20000,17500,14517,2250,1853
20200408,NJ,47437,52979,7026,1617,1576,1504,100416,100416,34,272,0,2421,3021,5442,15000,2500,2500,20000,17500,14526,2250,1889
20200409,NJ,51027,56165,7363,1523,1551,1700,107192,107192,34,196,0,3186,3590,6776,15000,2500,2500,20000,17500,14863,2250,1864
20200410,NJ,54588,58935,7570,1679,1663,1932,113523,113523,34,232,0,2770,3561,6331,15000,2500,2500,20000,17500,15070,2250,1976
20200411,NJ,58151,62042,7618,1746,1650,2183,120193,120193,34,251,0,3107,3563,6670,15000,2500,2500,20000,17500,15118,2250,1963
20200412,NJ,61850,64885,7604,1914,1644,2350,126735,126735,34,167,0,2843,3699,6542,15000,2500,2500,20000,17500,15104,2250,1957
20200413,NJ,64584,64885,7781,1886,1611,2443,129469,129469,34,93,0,0,2734,2734,15000,2500,2500,20000,17500,15281,2250,1924
20200414,NJ,68824,70950,8185,2051,1626,2805,139774,139774,34,362,0,6065,4240,10305,15000,2500,2500,20000,17500,15685,2250,1939
20200415,NJ,71030,72991,8270,1980,1705,3156,144021,144021,34,351,0,2041,2206,4247,15000,2500,2500,20000,17500,15770,2250,2018
20200416,NJ,75317,76513,8224,2014,1645,3518,151830,151830,34,362,0,3522,4287,7809,15000,2500,2500,20000,17500,15724,2250,1958
20200417,NJ,78467,78982,8011,1961,1594,3840,157449,157449,34,322,0,2469,3150,5619,15000,2500,2500,20000,17500,15511,2250,1907
20200418,NJ,81420,81116,7718,2024,1641,4070,162536,162536,34,230,0,2134,2953,5087,15000,2500,2500,20000,17500,15218,2250,1954
20200419,NJ,85301,85387,7494,1940,1628,4202,170688,170688,34,132,0,4271,3881,8152,15000,2500,2500,20000,17500,14994,2250,1941
20200420,NJ,88806,89251,6986,2018,1594,4377,178057,178057,34,175,0,3864,3505,7369,15000,2500,2500,20000,17500,14486,2250,1907
20200421,NJ,92387,92439,7594,1930,1501,4753,184826,184826,34,376,0,3188,3581,6769,15000,2500,2500,20000,17500,15094,2250,1814
20200422,NJ,95865,95794,7210,1983,1570,5063,191659,191659,34,310,0,3355,3478,6833,15000,2500,2500,20000,17500,14710,2250,1883
20200423,NJ,99989,100159,7240,1990,1462,5368,200148,200148,34,305,0,4365,4124,8489,15000,2500,2500,20000,17500,14740,2250,1775
20200424,NJ,102196,103766,6847,1933,1487,5617,205962,205962,34,249,0,3607,2207,5814,15000,2500,2500,20000,17500,14347,2250,1800
20200425,NJ,105523,108163,6722,1971,1442,5863,213686,213686,34,246,0,4397,3327,7724,15000,2500,2500,20000,17500,14222,2250,1755
